ARF5	ENST00000000233	ENSCAFT00000002708
UBE2N	ENST00000318066	ENSCAFT00000049365
CRAT	ENST00000318080	ENSCAFT00000031823
MAMSTR	ENST00000318083	ENSCAFT00000006290
DERL3	ENST00000318109	ENSCAFT00000022379
CLSPN	ENST00000318121	ENSCAFT00000005678
GINS3	ENST00000318129	ENSCAFT00000013485
EDEM3	ENST00000318130	ENSCAFT00000021376
GRHPR	ENST00000318158	ENSCAFT00000003721
GREM2	ENST00000318160	ENSCAFT00000024773
MYO1D	ENST00000318217	ENSCAFT00000060583
PKD2L1	ENST00000318222	ENSCAFT00000015327
SAMD9L	ENST00000318238	ENSCAFT00000003175
OR2AJ1	ENST00000318244	ENSCAFT00000078389
RORC	ENST00000318247	ENSCAFT00000020479
PPFIBP1	ENST00000318304	ENSCAFT00000061269
MRPL43	ENST00000318325	ENSCAFT00000015477
NDUFV2	ENST00000318388	ENSCAFT00000029662
WASHC5	ENST00000318410	ENSCAFT00000001638
TMC8	ENST00000318430	ENSCAFT00000008513
SYCN	ENST00000318438	ENSCAFT00000009002
ZNF366	ENST00000318442	ENSCAFT00000012751
CD276	ENST00000318443	ENSCAFT00000077759
SLCO3A1	ENST00000318445	ENSCAFT00000017864
GAPT	ENST00000318469	ENSCAFT00000011213
PEX7	ENST00000318471	ENSCAFT00000000399
CXCR2	ENST00000318507	ENSCAFT00000023204
EML4	ENST00000318522	ENSCAFT00000080241
ABL1	ENST00000318560	ENSCAFT00000031723
SFTPC	ENST00000318561	ENSCAFT00000093704
EPS8L2	ENST00000318562	ENSCAFT00000039040
MEOX1	ENST00000318579	ENSCAFT00000022993
FKRP	ENST00000318584	ENSCAFT00000082118
SLC25A42	ENST00000318596	ENSCAFT00000061809
PABPC1	ENST00000318607	ENSCAFT00000042991
FIBIN	ENST00000318627	ENSCAFT00000016151
CA5B	ENST00000318636	ENSCAFT00000019334
OR10D3	ENST00000318666	ENSCAFT00000017974
SLC38A9	ENST00000318672	ENSCAFT00000011022
EIF4E1B	ENST00000318682	ENSCAFT00000026360
B3GNT3	ENST00000318683	ENSCAFT00000024121
ANKFN1	ENST00000318698	ENSCAFT00000083683
AVL9	ENST00000318709	ENSCAFT00000005060
SHOC1	ENST00000318737	ENSCAFT00000037683
OR2B11	ENST00000318749	ENSCAFT00000017089
LRRC75B	ENST00000318753	ENSCAFT00000021989
OR13D1	ENST00000318763	ENSCAFT00000074129
PAQR4	ENST00000318782	ENSCAFT00000030729
FOXP1	ENST00000318789	ENSCAFT00000088237
ZFP3	ENST00000318833	ENSCAFT00000043880
CYC1	ENST00000318911	ENSCAFT00000002390
ANKRD24	ENST00000318934	ENSCAFT00000030367
NRIP1	ENST00000318948	ENSCAFT00000012894
SWAP70	ENST00000318950	ENSCAFT00000084152
ALS2CL	ENST00000318962	ENSCAFT00000021741
PTPN6	ENST00000318974	ENSCAFT00000063780
CTXN1	ENST00000318978	ENSCAFT00000000477
TIAM2	ENST00000318981	ENSCAFT00000085282
CTDNEP1	ENST00000318988	ENSCAFT00000025559
GEMIN4	ENST00000319004	ENSCAFT00000037731
SLC25A20	ENST00000319017	ENSCAFT00000019184
NADSYN1	ENST00000319023	ENSCAFT00000066097
WFIKKN1	ENST00000319070	ENSCAFT00000031256
MLXIP	ENST00000319080	ENSCAFT00000012734
KLHL11	ENST00000319121	ENSCAFT00000042910
ALOX12B	ENST00000319144	ENSCAFT00000064778
DNAJB8	ENST00000319153	ENSCAFT00000006631
TMEM39A	ENST00000319172	ENSCAFT00000017380
TTC7A	ENST00000319190	ENSCAFT00000091054
F2R	ENST00000319211	ENSCAFT00000014750
DIS3L	ENST00000319212	ENSCAFT00000027369
MPDZ	ENST00000319217	ENSCAFT00000064438
LRRC42	ENST00000319223	ENSCAFT00000030282
SHISA3	ENST00000319234	ENSCAFT00000002835
GFRA4	ENST00000319242	ENSCAFT00000010092
LURAP1L	ENST00000319264	ENSCAFT00000045872
TAC1	ENST00000319273	ENSCAFT00000003470
GORASP1	ENST00000319283	ENSCAFT00000071896
DCTPP1	ENST00000319285	ENSCAFT00000026277
ZNF572	ENST00000319286	ENSCAFT00000049344
UBASH3A	ENST00000319294	ENSCAFT00000016539
ZNF771	ENST00000319296	ENSCAFT00000026275
SERINC4	ENST00000319327	ENSCAFT00000021223
LRRN1	ENST00000319331	ENSCAFT00000009620
P3H2	ENST00000319332	ENSCAFT00000091861
ETV4	ENST00000319349	ENSCAFT00000046505
STK17A	ENST00000319357	ENSCAFT00000005594
ELL3	ENST00000319359	ENSCAFT00000021180
IL17RA	ENST00000319363	ENSCAFT00000025513
ZDHHC22	ENST00000319374	ENSCAFT00000047589
UBE2O	ENST00000319380	ENSCAFT00000008179
WDTC1	ENST00000319394	ENSCAFT00000019377
ETS1	ENST00000319397	ENSCAFT00000083474
TEX35	ENST00000319416	ENSCAFT00000037891
SHISA2	ENST00000319420	ENSCAFT00000048397
PCK1	ENST00000319441	ENSCAFT00000091101
CCDC102B	ENST00000319445	ENSCAFT00000066785
RUFY1	ENST00000319449	ENSCAFT00000047107
OTOS	ENST00000319460	ENSCAFT00000049248
MCFD2	ENST00000319466	ENSCAFT00000049524
OSBPL1A	ENST00000319481	ENSCAFT00000022395
SCD5	ENST00000319540	ENSCAFT00000043958
NT5DC1	ENST00000319550	ENSCAFT00000084085
KRBA1	ENST00000319551	ENSCAFT00000045150
TMEM31	ENST00000319560	ENSCAFT00000045739
FARP1	ENST00000319562	ENSCAFT00000009016
ANKDD1A	ENST00000319580	ENSCAFT00000067740
KLK12	ENST00000319590	ENSCAFT00000073848
HTR1F	ENST00000319595	ENSCAFT00000012417
FMN2	ENST00000319653	ENSCAFT00000082804
TMCO5A	ENST00000319669	ENSCAFT00000045738
PRR15	ENST00000319694	ENSCAFT00000085984
RBBP6	ENST00000319715	ENSCAFT00000027846
FUBP3	ENST00000319725	ENSCAFT00000031728
B4GALT3	ENST00000319769	ENSCAFT00000072190
MARCHF8	ENST00000319836	ENSCAFT00000039005
MOB3C	ENST00000319928	ENSCAFT00000038895
RABGGTB	ENST00000319942	ENSCAFT00000032473
HROB	ENST00000319977	ENSCAFT00000022705
IFT88	ENST00000319980	ENSCAFT00000011646
OR4S1	ENST00000319988	ENSCAFT00000013102
CNGB3	ENST00000320005	ENSCAFT00000014134
HSPH1	ENST00000320027	ENSCAFT00000075809
ITGA3	ENST00000320031	ENSCAFT00000026903
ARL4D	ENST00000320033	ENSCAFT00000023142
CLIP4	ENST00000320081	ENSCAFT00000070202
METRNL	ENST00000320095	ENSCAFT00000020805
LMO3	ENST00000320122	ENSCAFT00000090190
ZNF454	ENST00000320129	ENSCAFT00000046998
PRTFDC1	ENST00000320152	ENSCAFT00000006837
ZNF48	ENST00000320159	ENSCAFT00000047108
TENT5A	ENST00000320172	ENSCAFT00000044046
PITPNM2	ENST00000320201	ENSCAFT00000062937
RBPMS	ENST00000320203	ENSCAFT00000084848
ATRIP	ENST00000320211	ENSCAFT00000019908
NHLH2	ENST00000320238	ENSCAFT00000015511
FOXL1	ENST00000320241	ENSCAFT00000031682
NEK6	ENST00000320246	ENSCAFT00000049017
ASPRV1	ENST00000320256	ENSCAFT00000005320
RRS1	ENST00000320270	ENSCAFT00000011706
AGPAT4	ENST00000320285	ENSCAFT00000001195
PCDH15	ENST00000320301	ENSCAFT00000086357
TAGLN2	ENST00000320307	ENSCAFT00000091971
PHF23	ENST00000320316	ENSCAFT00000025537
OLFML3	ENST00000320334	ENSCAFT00000014855
FOXC2	ENST00000320354	ENSCAFT00000031684
SLC25A19	ENST00000320362	ENSCAFT00000007662
KIF1A	ENST00000320389	ENSCAFT00000088133
BCKDHB	ENST00000320393	ENSCAFT00000004556
IQCK	ENST00000320394	ENSCAFT00000028642
AMIGO3	ENST00000320431	ENSCAFT00000017896
SLC26A10	ENST00000320442	ENSCAFT00000086905
SCRIB	ENST00000320476	ENSCAFT00000089062
CIDEA	ENST00000320477	ENSCAFT00000036541
CCDC65	ENST00000320516	ENSCAFT00000013993
SLC16A8	ENST00000320521	ENSCAFT00000002225
TMEM270	ENST00000320531	ENSCAFT00000019822
MBOAT4	ENST00000320542	ENSCAFT00000050030
ANO6	ENST00000320560	ENSCAFT00000078090
KDF1	ENST00000320567	ENSCAFT00000019397
POLE	ENST00000320574	ENSCAFT00000072590
RAB39A	ENST00000320578	ENSCAFT00000048045
PACS1	ENST00000320580	ENSCAFT00000020613
CHORDC1	ENST00000320585	ENSCAFT00000070426
PIANP	ENST00000320591	ENSCAFT00000023370
NQO1	ENST00000320623	ENSCAFT00000055430
EHD1	ENST00000320631	ENSCAFT00000022426
FAIM2	ENST00000320634	ENSCAFT00000039244
AKAP5	ENST00000320636	ENSCAFT00000025424
ITFG1	ENST00000320640	ENSCAFT00000016252
CHRM2	ENST00000320658	ENSCAFT00000005392
SSBP2	ENST00000320672	ENSCAFT00000013778
RBMX	ENST00000320676	ENSCAFT00000030124
DNASE1L2	ENST00000320700	ENSCAFT00000043100
OR6S1	ENST00000320704	ENSCAFT00000008724
GLS	ENST00000320717	ENSCAFT00000015115
PELI3	ENST00000320740	ENSCAFT00000043031
LRIG3	ENST00000320743	ENSCAFT00000062755
BLOC1S4	ENST00000320776	ENSCAFT00000022771
KIF1C	ENST00000320785	ENSCAFT00000074228
NFATC2IP	ENST00000320805	ENSCAFT00000027416
DAB2	ENST00000320816	ENSCAFT00000085681
AAR2	ENST00000320849	ENSCAFT00000013392
SSR4	ENST00000320857	ENSCAFT00000030625
B3GNTL1	ENST00000320865	ENSCAFT00000078724
SMCHD1	ENST00000320876	ENSCAFT00000061212
RNF144A	ENST00000320892	ENSCAFT00000063986
CLPTM1L	ENST00000320895	ENSCAFT00000017076
PCSK7	ENST00000320934	ENSCAFT00000043755
CIRBP	ENST00000320936	ENSCAFT00000031013
CRTAP	ENST00000320954	ENSCAFT00000007476
SPTBN5	ENST00000320955	ENSCAFT00000015654
ZEB1	ENST00000320985	ENSCAFT00000066606
IGSF9B	ENST00000321016	ENSCAFT00000015597
GCFC2	ENST00000321027	ENSCAFT00000012988
PRPF31	ENST00000321030	ENSCAFT00000004264
ENPP4	ENST00000321037	ENSCAFT00000003193
PLXNA4	ENST00000321063	ENSCAFT00000089067
TOP3A	ENST00000321105	ENSCAFT00000029019
HCCS	ENST00000321143	ENSCAFT00000018383
DNAAF4	ENST00000321149	ENSCAFT00000025241
TMTC2	ENST00000321196	ENSCAFT00000093579
LEPROTL1	ENST00000321250	ENSCAFT00000078094
OR51V1	ENST00000321255	ENSCAFT00000019547
NCBP2	ENST00000321256	ENSCAFT00000020797
D2HGDH	ENST00000321264	ENSCAFT00000043750
NUDC	ENST00000321265	ENSCAFT00000019458
ATG16L2	ENST00000321297	ENSCAFT00000047262
BAIAP2	ENST00000321300	ENSCAFT00000064872
ME2	ENST00000321341	ENSCAFT00000000270
CYBRD1	ENST00000321348	ENSCAFT00000043428
OR8D4	ENST00000321355	ENSCAFT00000018204
CLK1	ENST00000321356	ENSCAFT00000018961
YBX1	ENST00000321358	ENSCAFT00000004010
TIGD5	ENST00000321385	ENSCAFT00000002044
TCP1	ENST00000321394	ENSCAFT00000001141
GCC1	ENST00000321407	ENSCAFT00000002710
AMER3	ENST00000321420	ENSCAFT00000006747
DUOX1	ENST00000321429	ENSCAFT00000021757
RAB8B	ENST00000321437	ENSCAFT00000026890
SFXN1	ENST00000321442	ENSCAFT00000084038
PDE1C	ENST00000321453	ENSCAFT00000082941
ZBTB38	ENST00000321464	ENSCAFT00000012266
KIAA1549L	ENST00000321505	ENSCAFT00000011539
SLC25A41	ENST00000321510	ENSCAFT00000081045
OR52E2	ENST00000321522	ENSCAFT00000048273
FBXO39	ENST00000321535	ENSCAFT00000024305
OR51L1	ENST00000321543	ENSCAFT00000038435
ZNF543	ENST00000321545	ENSCAFT00000080624
PINK1	ENST00000321556	ENSCAFT00000072077
PLD6	ENST00000321560	ENSCAFT00000029336
FKBP10	ENST00000321562	ENSCAFT00000025178
TTLL11	ENST00000321582	ENSCAFT00000032302
CATSPER2	ENST00000321596	ENSCAFT00000020945
IP6K1	ENST00000321599	ENSCAFT00000044812
GLDC	ENST00000321612	ENSCAFT00000080690
PHYHIP	ENST00000321613	ENSCAFT00000015042
CASKIN2	ENST00000321617	ENSCAFT00000067487
TMEM132E	ENST00000321639	ENSCAFT00000047556
GPR137C	ENST00000321662	ENSCAFT00000023379
STXBP5	ENST00000321680	ENSCAFT00000092722
DNAJC4	ENST00000321685	ENSCAFT00000023140
STAB1	ENST00000321725	ENSCAFT00000014824
PRKCB	ENST00000321728	ENSCAFT00000027949
AURKAIP1	ENST00000321751	ENSCAFT00000030585
MAT2B	ENST00000321757	ENSCAFT00000027206
TPPP2	ENST00000321760	ENSCAFT00000008814
SPACA4	ENST00000321762	ENSCAFT00000045741
CA13	ENST00000321764	ENSCAFT00000073384
P2RY11	ENST00000321826	ENSCAFT00000028430
ULK1	ENST00000321867	ENSCAFT00000010438
TMEM108	ENST00000321871	ENSCAFT00000010363
BPTF	ENST00000321892	ENSCAFT00000061101
CCDC71	ENST00000321895	ENSCAFT00000018586
VARS2	ENST00000321897	ENSCAFT00000000742
SPATS2	ENST00000321898	ENSCAFT00000013631
GLYR1	ENST00000321919	ENSCAFT00000073615
SLC14A1	ENST00000321925	ENSCAFT00000062655
ABRAXAS1	ENST00000321945	ENSCAFT00000014507
CRTC1	ENST00000321949	ENSCAFT00000023273
ATAD5	ENST00000321990	ENSCAFT00000043833
COQ7	ENST00000321998	ENSCAFT00000028804
CD151	ENST00000322008	ENSCAFT00000048788
OR51G2	ENST00000322013	ENSCAFT00000019954
TM6SF1	ENST00000322019	ENSCAFT00000020949
OR51T1	ENST00000322049	ENSCAFT00000037256
EHD3	ENST00000322054	ENSCAFT00000008624
DEFB114	ENST00000322066	ENSCAFT00000092945
BPNT1	ENST00000322067	ENSCAFT00000072571
PPP2R1A	ENST00000322088	ENSCAFT00000085651
NIPSNAP2	ENST00000322090	ENSCAFT00000070354
PCBP4	ENST00000322099	ENSCAFT00000092479
OR51S1	ENST00000322101	ENSCAFT00000020055
TRIM72	ENST00000322122	ENSCAFT00000088849
TSPYL5	ENST00000322128	ENSCAFT00000049753
FAM133A	ENST00000322139	ENSCAFT00000073359
FHL2	ENST00000322142	ENSCAFT00000003334
NPEPPS	ENST00000322157	ENSCAFT00000026366
HSD17B6	ENST00000322165	ENSCAFT00000000235
NOP2	ENST00000322166	ENSCAFT00000023862
RPP25	ENST00000322177	ENSCAFT00000078427
RPL10A	ENST00000322203	ENSCAFT00000002038
SMC1A	ENST00000322213	ENSCAFT00000025795
MYPOP	ENST00000322217	ENSCAFT00000036899
GPR62	ENST00000322241	ENSCAFT00000015959
UBA6	ENST00000322244	ENSCAFT00000004388
DEFB112	ENST00000322246	ENSCAFT00000087715
FAM210A	ENST00000322247	ENSCAFT00000000281
SSNA1	ENST00000322310	ENSCAFT00000030974
WDR33	ENST00000322313	ENSCAFT00000006945
RPRML	ENST00000322329	ENSCAFT00000042866
ZADH2	ENST00000322342	ENSCAFT00000000035
PNKP	ENST00000322344	ENSCAFT00000075601
COX5A	ENST00000322347	ENSCAFT00000075435
GCNT4	ENST00000322348	ENSCAFT00000015147
EEA1	ENST00000322349	ENSCAFT00000009971
SERTAD3	ENST00000322354	ENSCAFT00000008597
ZBTB7A	ENST00000322357	ENSCAFT00000076579
PRMT9	ENST00000322396	ENSCAFT00000012425
MAF1	ENST00000322428	ENSCAFT00000072103
ZNF354B	ENST00000322434	ENSCAFT00000046315
KCTD2	ENST00000322444	ENSCAFT00000007584
COL12A1	ENST00000322507	ENSCAFT00000080483
INPP1	ENST00000322522	ENSCAFT00000047844
SF3B2	ENST00000322535	ENSCAFT00000020708
DDX10	ENST00000322536	ENSCAFT00000022758
WNT11	ENST00000322563	ENSCAFT00000008531
PLEKHD1	ENST00000322564	ENSCAFT00000036715
MMP19	ENST00000322569	ENSCAFT00000000127
MFAP3	ENST00000322602	ENSCAFT00000045985
SH2B1	ENST00000322610	ENSCAFT00000065797
BASP1	ENST00000322611	ENSCAFT00000044354
RUVBL1	ENST00000322623	ENSCAFT00000006605
CEP295NL	ENST00000322630	ENSCAFT00000008911
SUZ12	ENST00000322652	ENSCAFT00000029373
EPM2AIP1	ENST00000322716	ENSCAFT00000007680
NCL	ENST00000322723	ENSCAFT00000089404
ZNF18	ENST00000322748	ENSCAFT00000028307
ZYX	ENST00000322764	ENSCAFT00000005812
NDUFV1	ENST00000322776	ENSCAFT00000017681
PLEC	ENST00000322810	ENSCAFT00000002240
FAM214B	ENST00000322813	ENSCAFT00000003189
MYLPF	ENST00000322861	ENSCAFT00000077058
E2F7	ENST00000322886	ENSCAFT00000086462
KCNH5	ENST00000322893	ENSCAFT00000050126
NAPG	ENST00000322897	ENSCAFT00000029751
TMC6	ENST00000322914	ENSCAFT00000008492
ZNF335	ENST00000322927	ENSCAFT00000085421
AMBN	ENST00000322937	ENSCAFT00000004650
ABITRAM	ENST00000322940	ENSCAFT00000049787
HIC1	ENST00000322941	ENSCAFT00000030574
MAZ	ENST00000322945	ENSCAFT00000026857
BANK1	ENST00000322953	ENSCAFT00000038744
UACA	ENST00000322954	ENSCAFT00000038417
FOXJ1	ENST00000322957	ENSCAFT00000008129
RPS15A	ENST00000322989	ENSCAFT00000049736
CDH7	ENST00000323011	ENSCAFT00000000076
MIEF2	ENST00000323019	ENSCAFT00000029030
DUOXA2	ENST00000323030	ENSCAFT00000021730
DYRK1B	ENST00000323039	ENSCAFT00000074414
NAP1L5	ENST00000323061	ENSCAFT00000015566
LCP1	ENST00000323076	ENSCAFT00000071258
TSPEAR	ENST00000323084	ENSCAFT00000017519
NTRK2	ENST00000323115	ENSCAFT00000081058
ATP11B	ENST00000323116	ENSCAFT00000018627
SLC35A4	ENST00000323146	ENSCAFT00000011471
TMEM102	ENST00000323206	ENSCAFT00000025843
TYMS	ENST00000323274	ENSCAFT00000029138
ADGRB1	ENST00000323289	ENSCAFT00000001959
MOB4	ENST00000323303	ENSCAFT00000017386
GH1	ENST00000323322	ENSCAFT00000020118
RPL7A	ENST00000323345	ENSCAFT00000031419
SLC17A8	ENST00000323346	ENSCAFT00000010950
ANKZF1	ENST00000323348	ENSCAFT00000024039
PIPOX	ENST00000323372	ENSCAFT00000029972
OR3A1	ENST00000323404	ENSCAFT00000081193
CPT1C	ENST00000323446	ENSCAFT00000061037
MTMR4	ENST00000323456	ENSCAFT00000027755
SENP5	ENST00000323460	ENSCAFT00000065436
POGLUT3	ENST00000323468	ENSCAFT00000060138
DIRAS1	ENST00000323469	ENSCAFT00000030815
ACSS1	ENST00000323482	ENSCAFT00000073807
TMEM45A	ENST00000323523	ENSCAFT00000080292
RAP2B	ENST00000323534	ENSCAFT00000049624
PLEKHO2	ENST00000323544	ENSCAFT00000065140
MRPS31	ENST00000323563	ENSCAFT00000039132
ELMOD2	ENST00000323570	ENSCAFT00000083532
WIPF2	ENST00000323571	ENSCAFT00000048463
CHID1	ENST00000323578	ENSCAFT00000015230
PHKB	ENST00000323584	ENSCAFT00000072518
PLAAT3	ENST00000323646	ENSCAFT00000042780
METAP2	ENST00000323666	ENSCAFT00000010287
DDHD1	ENST00000323669	ENSCAFT00000023611
SPEM1	ENST00000323675	ENSCAFT00000086593
DEGS1	ENST00000323699	ENSCAFT00000025968
USP39	ENST00000323701	ENSCAFT00000012278
ZNF513	ENST00000323703	ENSCAFT00000007894
ARMC10	ENST00000323716	ENSCAFT00000006813
CDC25C	ENST00000323760	ENSCAFT00000001893
MYCBPAP	ENST00000323776	ENSCAFT00000027040
HSF5	ENST00000323777	ENSCAFT00000027765
GYS1	ENST00000323798	ENSCAFT00000006203
CPN2	ENST00000323830	ENSCAFT00000049465
NDRG1	ENST00000323851	ENSCAFT00000001747
SNRNP200	ENST00000323853	ENSCAFT00000062017
HTR1A	ENST00000323865	ENSCAFT00000011644
CD37	ENST00000323906	ENSCAFT00000078533
ANAPC2	ENST00000323927	ENSCAFT00000030976
MRE11	ENST00000323929	ENSCAFT00000006688
STRA6	ENST00000323940	ENSCAFT00000048873
STXBP6	ENST00000323944	ENSCAFT00000078531
CSTF3	ENST00000323959	ENSCAFT00000011665
EIF4A2	ENST00000323963	ENSCAFT00000021683
ENO3	ENST00000323997	ENSCAFT00000061600
ST8SIA3	ENST00000324000	ENSCAFT00000000212
SERPINF2	ENST00000324015	ENSCAFT00000030538
KLK4	ENST00000324041	ENSCAFT00000085716
ZNF687	ENST00000324048	ENSCAFT00000020030
LARP7	ENST00000324052	ENSCAFT00000018607
CAPN6	ENST00000324068	ENSCAFT00000028872
CYP2B6	ENST00000324071	ENSCAFT00000036927
TDRP	ENST00000324079	ENSCAFT00000045501
PLXND1	ENST00000324093	ENSCAFT00000007454
MAP1S	ENST00000324096	ENSCAFT00000024173
CD28	ENST00000324106	ENSCAFT00000063094
DNMBP	ENST00000324109	ENSCAFT00000090232
FANCB	ENST00000324138	ENSCAFT00000018836
THNSL2	ENST00000324166	ENSCAFT00000011875
B3GNT4	ENST00000324189	ENSCAFT00000038085
SLC25A36	ENST00000324194	ENSCAFT00000047189
GRK3	ENST00000324198	ENSCAFT00000061525
SIDT2	ENST00000324225	ENSCAFT00000020974
CALCB	ENST00000324229	ENSCAFT00000013558
CRLF3	ENST00000324238	ENSCAFT00000029361
CNDP2	ENST00000324262	ENSCAFT00000000040
TRAPPC12	ENST00000324266	ENSCAFT00000005225
CIITA	ENST00000324288	ENSCAFT00000076376
EDNRA	ENST00000324300	ENSCAFT00000012408
ZKSCAN1	ENST00000324306	ENSCAFT00000045509
MYEF2	ENST00000324324	ENSCAFT00000022267
GLIS3	ENST00000324333	ENSCAFT00000045395
FAM71C	ENST00000324341	ENSCAFT00000081519
DCUN1D3	ENST00000324344	ENSCAFT00000028370
FBXL16	ENST00000324361	ENSCAFT00000031186
PRMT5	ENST00000324366	ENSCAFT00000017874
PPIE	ENST00000324379	ENSCAFT00000046678
WFDC11	ENST00000324384	ENSCAFT00000015433
BAIAP3	ENST00000324385	ENSCAFT00000031139
ZNF875	ENST00000324411	ENSCAFT00000093199
SLC34A1	ENST00000324417	ENSCAFT00000026025
DTX2	ENST00000324432	ENSCAFT00000021597
ACTL9	ENST00000324436	ENSCAFT00000029470
RCHY1	ENST00000324439	ENSCAFT00000047092
MTURN	ENST00000324453	ENSCAFT00000086237
HSPA5	ENST00000324460	ENSCAFT00000032170
ZNF283	ENST00000324461	ENSCAFT00000087766
COQ8B	ENST00000324464	ENSCAFT00000060103
DPY19L2	ENST00000324472	ENSCAFT00000005112
PSEN1	ENST00000324501	ENSCAFT00000026626
ANO5	ENST00000324559	ENSCAFT00000015990
MBOAT1	ENST00000324607	ENSCAFT00000086127
CACNB2	ENST00000324631	ENSCAFT00000083693
SLC6A18	ENST00000324642	ENSCAFT00000016627
CD19	ENST00000324662	ENSCAFT00000027413
FAM193A	ENST00000324666	ENSCAFT00000023571
FAM187B	ENST00000324675	ENSCAFT00000011365
SAV1	ENST00000324679	ENSCAFT00000070861
RNF40	ENST00000324685	ENSCAFT00000026446
TRPM8	ENST00000324695	ENSCAFT00000018989
IQUB	ENST00000324698	ENSCAFT00000005760
SCN4B	ENST00000324727	ENSCAFT00000020335
MC5R	ENST00000324750	ENSCAFT00000000277
DIAPH2	ENST00000324765	ENSCAFT00000090879
SCAPER	ENST00000324767	ENSCAFT00000069315
CREG2	ENST00000324768	ENSCAFT00000048501
DDR1	ENST00000324771	ENSCAFT00000000714
CAMKK2	ENST00000324774	ENSCAFT00000013261
PPT2	ENST00000324816	ENSCAFT00000001193
MED14	ENST00000324817	ENSCAFT00000022451
VPS37A	ENST00000324849	ENSCAFT00000038933
ARID1A	ENST00000324856	ENSCAFT00000019631
PRPF3	ENST00000324862	ENSCAFT00000018778
YARS2	ENST00000324868	ENSCAFT00000016678
METTL1	ENST00000324871	ENSCAFT00000065584
NUPR1	ENST00000324873	ENSCAFT00000027126
GTPBP3	ENST00000324894	ENSCAFT00000024419
GRHL1	ENST00000324907	ENSCAFT00000045268
CHCHD5	ENST00000324913	ENSCAFT00000011504
VPS37D	ENST00000324941	ENSCAFT00000020555
DYNC1I1	ENST00000324972	ENSCAFT00000003385
AHCYL2	ENST00000325006	ENSCAFT00000002379
NKX2-6	ENST00000325017	ENSCAFT00000038105
PCM1	ENST00000325083	ENSCAFT00000073168
SLITRK5	ENST00000325089	ENSCAFT00000008533
TMEM33	ENST00000325094	ENSCAFT00000002820
MIF4GD	ENST00000325102	ENSCAFT00000007654
HPS1	ENST00000325103	ENSCAFT00000014916
TTC29	ENST00000325106	ENSCAFT00000012402
HMGCS1	ENST00000325110	ENSCAFT00000029484
ODF3	ENST00000325113	ENSCAFT00000010375
VIPR1	ENST00000325123	ENSCAFT00000008483
ZNF550	ENST00000325134	ENSCAFT00000003802
ZBTB2	ENST00000325144	ENSCAFT00000000667
ENTHD1	ENST00000325157	ENSCAFT00000002017
CHMP6	ENST00000325167	ENSCAFT00000076614
ANGPT2	ENST00000325203	ENSCAFT00000013697
CEP295	ENST00000325212	ENSCAFT00000006791
CUL1	ENST00000325222	ENSCAFT00000005562
WDFY4	ENST00000325239	ENSCAFT00000010630
MAGEB18	ENST00000325250	ENSCAFT00000021534
FBXW5	ENST00000325285	ENSCAFT00000031056
MIEF1	ENST00000325301	ENSCAFT00000047272
CDK20	ENST00000325303	ENSCAFT00000049513
HMGB3	ENST00000325307	ENSCAFT00000045229
KLK2	ENST00000325321	ENSCAFT00000073731
IPO11	ENST00000325324	ENSCAFT00000089455
ZNF580	ENST00000325333	ENSCAFT00000044083
ZNF784	ENST00000325351	ENSCAFT00000044737
DIS3L2	ENST00000325385	ENSCAFT00000066031
SLC47A2	ENST00000325411	ENSCAFT00000080916
HASPIN	ENST00000325418	ENSCAFT00000030781
ZNF579	ENST00000325421	ENSCAFT00000004042
UBE2I	ENST00000325437	ENSCAFT00000048668
PACS2	ENST00000325438	ENSCAFT00000084408
PGR	ENST00000325455	ENSCAFT00000006379
MED16	ENST00000325464	ENSCAFT00000031265
LARGE2	ENST00000325468	ENSCAFT00000014876
HNRNPM	ENST00000325495	ENSCAFT00000072002
MSC	ENST00000325509	ENSCAFT00000012653
CEP57	ENST00000325542	ENSCAFT00000077711
CTNNAL1	ENST00000325551	ENSCAFT00000038612
SHQ1	ENST00000325599	ENSCAFT00000010390
P2RY13	ENST00000325602	ENSCAFT00000013537
CLGN	ENST00000325617	ENSCAFT00000084442
SPINK6	ENST00000325630	ENSCAFT00000092193
MARVELD2	ENST00000325631	ENSCAFT00000012445
CABP4	ENST00000325656	ENSCAFT00000018324
KIAA0319L	ENST00000325722	ENSCAFT00000087561
PRKRA	ENST00000325748	ENSCAFT00000021978
TUBD1	ENST00000325752	ENSCAFT00000062569
ORMDL1	ENST00000325795	ENSCAFT00000089771
BBX	ENST00000325805	ENSCAFT00000074558
MRPS11	ENST00000325844	ENSCAFT00000018243
DMRTA1	ENST00000325870	ENSCAFT00000002633
RMI1	ENST00000325875	ENSCAFT00000002145
SNX22	ENST00000325881	ENSCAFT00000026996
ASB4	ENST00000325885	ENSCAFT00000003352
FLNC	ENST00000325888	ENSCAFT00000002504
CLVS1	ENST00000325897	ENSCAFT00000011526
HAO2	ENST00000325945	ENSCAFT00000015954
RNF10	ENST00000325954	ENSCAFT00000016502
VENTX	ENST00000325980	ENSCAFT00000021323
KLHL38	ENST00000325995	ENSCAFT00000001555
WFDC9	ENST00000326000	ENSCAFT00000037950
OAZ2	ENST00000326005	ENSCAFT00000043363
UPB1	ENST00000326010	ENSCAFT00000049172
ARHGEF4	ENST00000326016	ENSCAFT00000006766
SLC4A1AP	ENST00000326019	ENSCAFT00000008348
