WNK2	ENST00000297954	ENSCAFT00000042749
VMAC	ENST00000339485	ENSCAFT00000029762
BCLAF1	ENST00000531224	ENSCAFT00000035671
FLNB	ENST00000295956	ENSCAFT00000012236
ABHD17B	ENST00000333421	ENSCAFT00000002865
ANAPC7	ENST00000455511	ENSCAFT00000013409
SLC66A3	ENST00000295083	ENSCAFT00000085243
FHAD1	ENST00000358897	ENSCAFT00000025881
LRRC3C	ENST00000377924	ENSCAFT00000037929
ATG101	ENST00000336854	ENSCAFT00000047933
IK	ENST00000417647	ENSCAFT00000009474
DHX9	ENST00000367549	ENSCAFT00000020976
CCDC61	ENST00000595358	ENSCAFT00000071646
MESP2	ENST00000341735	ENSCAFT00000043744
ASIC1	ENST00000447966	ENSCAFT00000046215
TM9SF4	ENST00000398022	ENSCAFT00000011491
PATL1	ENST00000300146	ENSCAFT00000012141
ZSCAN12	ENST00000361028	ENSCAFT00000068106
FOXL1	ENST00000320241	ENSCAFT00000031682
HMCN1	ENST00000271588	ENSCAFT00000021686
TOX4	ENST00000448790	ENSCAFT00000009089
ARMC12	ENST00000373866	ENSCAFT00000044109
EPRS1	ENST00000366923	ENSCAFT00000087538
ANKRD13B	ENST00000394859	ENSCAFT00000030098
RASSF7	ENST00000397583	ENSCAFT00000048339
TAS1R2	ENST00000375371	ENSCAFT00000024580
TRAPPC13	ENST00000399438	ENSCAFT00000011959
VASN	ENST00000304735	ENSCAFT00000030511
GAL3ST2	ENST00000192314	ENSCAFT00000068890
RHOF	ENST00000267205	ENSCAFT00000069895
PRRG1	ENST00000378628	ENSCAFT00000073935
LRRIQ4	ENST00000340806	ENSCAFT00000023388
PRDM6	ENST00000407847	ENSCAFT00000036515
TTC3	ENST00000354749	ENSCAFT00000015532
MKLN1	ENST00000352689	ENSCAFT00000002178
CIDEA	ENST00000320477	ENSCAFT00000036541
TRIB2	ENST00000155926	ENSCAFT00000049200
HYLS1	ENST00000356438	ENSCAFT00000044308
EPHB1	ENST00000398015	ENSCAFT00000011269
NSMAF	ENST00000038176	ENSCAFT00000081206
SLC26A5	ENST00000306312	ENSCAFT00000006730
RFWD3	ENST00000361070	ENSCAFT00000045761
JOSD2	ENST00000598418	ENSCAFT00000004755
RBM26	ENST00000438737	ENSCAFT00000064056
CLDN20	ENST00000367165	ENSCAFT00000000897
USP4	ENST00000265560	ENSCAFT00000018443
COL1A1	ENST00000225964	ENSCAFT00000026953
NUDT6	ENST00000304430	ENSCAFT00000006396
ZC3H12A	ENST00000373087	ENSCAFT00000075726
CAPN3	ENST00000397163	ENSCAFT00000017107
NAIF1	ENST00000373078	ENSCAFT00000031983
PPBP	ENST00000296028	ENSCAFT00000048323
MRPS11	ENST00000325844	ENSCAFT00000018243
UBE2E1	ENST00000306627	ENSCAFT00000009312
ZDHHC21	ENST00000380916	ENSCAFT00000002393
SERTAD4	ENST00000367012	ENSCAFT00000048585
F2R	ENST00000319211	ENSCAFT00000014750
USP2	ENST00000260187	ENSCAFT00000062381
C2CD5	ENST00000333957	ENSCAFT00000087105
CAMSAP2	ENST00000236925	ENSCAFT00000077962
SGO1	ENST00000263753	ENSCAFT00000009354
PCDH12	ENST00000231484	ENSCAFT00000010074
PODNL1	ENST00000339560	ENSCAFT00000026169
MPL	ENST00000372470	ENSCAFT00000036754
SCO1	ENST00000255390	ENSCAFT00000046567
FIZ1	ENST00000221665	ENSCAFT00000048613
LRSAM1	ENST00000300417	ENSCAFT00000093088
TUBGCP6	ENST00000248846	ENSCAFT00000001073
ERAP2	ENST00000437043	ENSCAFT00000012446
GASK1B	ENST00000296530	ENSCAFT00000045012
PEAR1	ENST00000292357	ENSCAFT00000026165
URM1	ENST00000372853	ENSCAFT00000063492
OR14I1	ENST00000342623	ENSCAFT00000039094
SCUBE3	ENST00000274938	ENSCAFT00000047963
LMBRD2	ENST00000296603	ENSCAFT00000029736
PLCL2	ENST00000615277	ENSCAFT00000009453
TMEM128	ENST00000382753	ENSCAFT00000024818
SAP30BP	ENST00000584667	ENSCAFT00000065523
PLCB1	ENST00000338037	ENSCAFT00000063517
AVIL	ENST00000257861	ENSCAFT00000000466
TNRC18	ENST00000430969	ENSCAFT00000042942
AMMECR1L	ENST00000272647	ENSCAFT00000006910
BECN2	ENST00000419583	ENSCAFT00000024982
AK1	ENST00000373156	ENSCAFT00000031997
CCDC150	ENST00000389175	ENSCAFT00000017050
VIPR2	ENST00000262178	ENSCAFT00000066614
SHTN1	ENST00000355371	ENSCAFT00000049412
BLOC1S5	ENST00000397457	ENSCAFT00000045868
UBE2L6	ENST00000287156	ENSCAFT00000090152
COX4I2	ENST00000376075	ENSCAFT00000011306
RBKS	ENST00000302188	ENSCAFT00000088321
KDM5C	ENST00000375401	ENSCAFT00000025663
PDE1A	ENST00000410103	ENSCAFT00000036275
CCNI2	ENST00000378731	ENSCAFT00000036933
KARS1	ENST00000302445	ENSCAFT00000031942
ZNF615	ENST00000376716	ENSCAFT00000074923
PNMT	ENST00000269582	ENSCAFT00000025957
ZNF771	ENST00000319296	ENSCAFT00000026275
CAV1	ENST00000341049	ENSCAFT00000005462
PEX16	ENST00000378750	ENSCAFT00000014884
AGPAT1	ENST00000336984	ENSCAFT00000087571
CLMN	ENST00000298912	ENSCAFT00000028086
KLK8	ENST00000600767	ENSCAFT00000037847
LRGUK	ENST00000285928	ENSCAFT00000002022
VRK3	ENST00000316763	ENSCAFT00000005506
STARD3	ENST00000336308	ENSCAFT00000025973
BCL6B	ENST00000293805	ENSCAFT00000025314
RANGAP1	ENST00000356244	ENSCAFT00000001705
MRPL19	ENST00000393909	ENSCAFT00000013000
DDX51	ENST00000397333	ENSCAFT00000010222
ANKS4B	ENST00000311620	ENSCAFT00000083768
NOL9	ENST00000377705	ENSCAFT00000031165
DDX43	ENST00000370336	ENSCAFT00000046847
KRTAP13-3	ENST00000390690	ENSCAFT00000014026
TCP11L2	ENST00000299045	ENSCAFT00000002966
CEP19	ENST00000409690	ENSCAFT00000020690
PLBD2	ENST00000280800	ENSCAFT00000014432
OR51B4	ENST00000380224	ENSCAFT00000061815
ZNF664	ENST00000337815	ENSCAFT00000011202
KIF14	ENST00000367350	ENSCAFT00000017720
VPS13C	ENST00000261517	ENSCAFT00000026609
SPINT1	ENST00000344051	ENSCAFT00000014907
GLE1	ENST00000309971	ENSCAFT00000031904
SMOX	ENST00000305958	ENSCAFT00000009873
PSMA6	ENST00000261479	ENSCAFT00000021278
WFDC5	ENST00000307971	ENSCAFT00000036779
PLXNB3	ENST00000361971	ENSCAFT00000030608
ADGRA3	ENST00000334304	ENSCAFT00000088493
ENPP2	ENST00000075322	ENSCAFT00000066451
COL19A1	ENST00000620364	ENSCAFT00000004046
B3GLCT	ENST00000343307	ENSCAFT00000080217
DR1	ENST00000370267	ENSCAFT00000032065
CAPN6	ENST00000324068	ENSCAFT00000028872
MAL	ENST00000309988	ENSCAFT00000092846
WAPL	ENST00000298767	ENSCAFT00000025316
NKX6-1	ENST00000295886	ENSCAFT00000014553
ZAP70	ENST00000264972	ENSCAFT00000083780
FUT9	ENST00000302103	ENSCAFT00000005507
CDO1	ENST00000250535	ENSCAFT00000000329
RXFP3	ENST00000330120	ENSCAFT00000043044
GTPBP3	ENST00000324894	ENSCAFT00000024419
CLOCK	ENST00000309964	ENSCAFT00000078969
TBC1D21	ENST00000300504	ENSCAFT00000028278
ERG	ENST00000398919	ENSCAFT00000015786
CDH10	ENST00000264463	ENSCAFT00000030188
MED27	ENST00000292035	ENSCAFT00000060906
FGFR1	ENST00000447712	ENSCAFT00000009709
KRT36	ENST00000328119	ENSCAFT00000025269
USF2	ENST00000222305	ENSCAFT00000037592
AMPD1	ENST00000520113	ENSCAFT00000077571
CDKL5	ENST00000379989	ENSCAFT00000088068
RAB31	ENST00000578921	ENSCAFT00000082009
MKS1	ENST00000393119	ENSCAFT00000061279
AMFR	ENST00000290649	ENSCAFT00000014581
AR	ENST00000374690	ENSCAFT00000026381
EPC1	ENST00000263062	ENSCAFT00000006571
FAM83D	ENST00000619850	ENSCAFT00000014346
SLC48A1	ENST00000442218	ENSCAFT00000014580
CACYBP	ENST00000367679	ENSCAFT00000048584
MEN1	ENST00000337652	ENSCAFT00000022520
CDIPT	ENST00000219789	ENSCAFT00000076460
NAGPA	ENST00000312251	ENSCAFT00000030369
RECQL	ENST00000421138	ENSCAFT00000065782
BTN1A1	ENST00000244513	ENSCAFT00000017299
GAS1	ENST00000298743	ENSCAFT00000035676
ARHGEF11	ENST00000361409	ENSCAFT00000073740
EIF5B	ENST00000289371	ENSCAFT00000003577
KCNC2	ENST00000549446	ENSCAFT00000000758
LMAN1L	ENST00000309664	ENSCAFT00000028501
RAB1B	ENST00000311481	ENSCAFT00000069944
VEGFA	ENST00000523873	ENSCAFT00000049819
JAKMIP3	ENST00000298622	ENSCAFT00000044991
ARHGEF16	ENST00000378378	ENSCAFT00000049364
HLTF	ENST00000310053	ENSCAFT00000013176
SPDYC	ENST00000377185	ENSCAFT00000048625
SCN1A	ENST00000303395	ENSCAFT00000018258
GALNT6	ENST00000356317	ENSCAFT00000065402
EVX2	ENST00000308618	ENSCAFT00000021263
MPV17	ENST00000233545	ENSCAFT00000049675
KIRREL2	ENST00000360202	ENSCAFT00000077714
PRMT5	ENST00000324366	ENSCAFT00000017874
ROBO4	ENST00000306534	ENSCAFT00000017596
AARS1	ENST00000261772	ENSCAFT00000032047
BCCIP	ENST00000278100	ENSCAFT00000020430
CCSAP	ENST00000284617	ENSCAFT00000048744
MKRN2	ENST00000170447	ENSCAFT00000007980
FKBP3	ENST00000216330	ENSCAFT00000022261
GPC6	ENST00000377047	ENSCAFT00000043049
CFAP97D1	ENST00000449302	ENSCAFT00000022954
CLEC2B	ENST00000228438	ENSCAFT00000049645
RBM20	ENST00000369519	ENSCAFT00000075643
EGFR	ENST00000275493	ENSCAFT00000005575
RAD50	ENST00000378823	ENSCAFT00000048691
DOCK1	ENST00000280333	ENSCAFT00000020816
BNIP1	ENST00000351486	ENSCAFT00000086906
GNL1	ENST00000376621	ENSCAFT00000000627
ZNF202	ENST00000336139	ENSCAFT00000018275
BSN	ENST00000296452	ENSCAFT00000074391
ATP8B4	ENST00000284509	ENSCAFT00000023794
CHI3L1	ENST00000255409	ENSCAFT00000073770
RNF7	ENST00000273480	ENSCAFT00000012311
TRPV4	ENST00000261740	ENSCAFT00000076566
ATP6V1G3	ENST00000281087	ENSCAFT00000018001
MEIKIN	ENST00000442687	ENSCAFT00000043409
PHYH	ENST00000263038	ENSCAFT00000093857
SNAP25	ENST00000254976	ENSCAFT00000009121
PRKRA	ENST00000325748	ENSCAFT00000021978
SLC13A2	ENST00000314669	ENSCAFT00000029696
BCOR	ENST00000378444	ENSCAFT00000022386
GLS2	ENST00000311966	ENSCAFT00000000215
LINGO2	ENST00000308675	ENSCAFT00000002705
CSGALNACT2	ENST00000374466	ENSCAFT00000011315
SLC9A5	ENST00000299798	ENSCAFT00000032438
TRIM24	ENST00000343526	ENSCAFT00000006974
LDLR	ENST00000558518	ENSCAFT00000089638
DMRTA1	ENST00000325870	ENSCAFT00000002633
PRPSAP2	ENST00000268835	ENSCAFT00000028971
IGF1R	ENST00000268035	ENSCAFT00000074523
FGL1	ENST00000381840	ENSCAFT00000044602
PHACTR2	ENST00000427704	ENSCAFT00000044951
CASP4	ENST00000444739	ENSCAFT00000036213
MANBAL	ENST00000373605	ENSCAFT00000013903
STING1	ENST00000330794	ENSCAFT00000009197
PTAR1	ENST00000340434	ENSCAFT00000047524
ATP7B	ENST00000242839	ENSCAFT00000006859
SPART	ENST00000355182	ENSCAFT00000010004
EFCAB1	ENST00000262103	ENSCAFT00000010686
NFATC2	ENST00000396009	ENSCAFT00000018458
UROD	ENST00000246337	ENSCAFT00000062893
NKD2	ENST00000296849	ENSCAFT00000017218
TXN2	ENST00000216185	ENSCAFT00000002425
LRP1B	ENST00000389484	ENSCAFT00000008728
AQP11	ENST00000313578	ENSCAFT00000072588
COL23A1	ENST00000390654	ENSCAFT00000049928
TRPV1	ENST00000399756	ENSCAFT00000030734
SLC37A4	ENST00000545985	ENSCAFT00000043260
CCNT2	ENST00000264157	ENSCAFT00000087787
PITHD1	ENST00000246151	ENSCAFT00000047677
SERP2	ENST00000379179	ENSCAFT00000074033
CUZD1	ENST00000368904	ENSCAFT00000020045
TCN2	ENST00000215838	ENSCAFT00000061678
ADAM20	ENST00000256389	ENSCAFT00000026396
PSTPIP2	ENST00000409746	ENSCAFT00000027998
CNBP	ENST00000422453	ENSCAFT00000006937
PDZD3	ENST00000531114	ENSCAFT00000019349
TMEM150B	ENST00000326652	ENSCAFT00000004083
ZG16B	ENST00000382280	ENSCAFT00000030756
MSTN	ENST00000260950	ENSCAFT00000014953
SLC7A1	ENST00000380752	ENSCAFT00000010744
PEX6	ENST00000304611	ENSCAFT00000002738
ARHGAP44	ENST00000379672	ENSCAFT00000028372
KDM4A	ENST00000372396	ENSCAFT00000078397
DOK5	ENST00000262593	ENSCAFT00000049974
CRYGS	ENST00000307944	ENSCAFT00000045202
EHD4	ENST00000220325	ENSCAFT00000015689
GCNT3	ENST00000396065	ENSCAFT00000026386
RBMS1	ENST00000348849	ENSCAFT00000015788
MFSD4B	ENST00000368847	ENSCAFT00000006312
TADA2A	ENST00000617828	ENSCAFT00000028817
CCDC158	ENST00000388914	ENSCAFT00000013696
HSPA14	ENST00000378372	ENSCAFT00000007573
BCAT2	ENST00000316273	ENSCAFT00000068041
CIB3	ENST00000269878	ENSCAFT00000025000
NUP88	ENST00000573584	ENSCAFT00000062379
OFD1	ENST00000340096	ENSCAFT00000064025
ZMAT4	ENST00000297737	ENSCAFT00000090950
SOX15	ENST00000250055	ENSCAFT00000026387
GNB2	ENST00000303210	ENSCAFT00000038242
ZC3HAV1L	ENST00000275766	ENSCAFT00000006561
CLDN17	ENST00000286808	ENSCAFT00000013981
KRTAP24-1	ENST00000340345	ENSCAFT00000014019
PAG1	ENST00000220597	ENSCAFT00000013389
CLDN34	ENST00000445307	ENSCAFT00000018100
CHUK	ENST00000370397	ENSCAFT00000015231
DNM1L	ENST00000549701	ENSCAFT00000016792
MALSU1	ENST00000466681	ENSCAFT00000004393
MFSD11	ENST00000336509	ENSCAFT00000008310
MKKS	ENST00000347364	ENSCAFT00000009098
RAB10	ENST00000264710	ENSCAFT00000006816
CDC14B	ENST00000375241	ENSCAFT00000080691
P2RX3	ENST00000263314	ENSCAFT00000071375
SPATA2L	ENST00000289805	ENSCAFT00000031526
CYTH3	ENST00000396741	ENSCAFT00000024884
SNAP23	ENST00000249647	ENSCAFT00000017676
CCDC85A	ENST00000407595	ENSCAFT00000004678
PLA2G3	ENST00000215885	ENSCAFT00000020599
DCSTAMP	ENST00000297581	ENSCAFT00000001043
SAT1	ENST00000379270	ENSCAFT00000043714
CABLES2	ENST00000279101	ENSCAFT00000020129
GABBR1	ENST00000377034	ENSCAFT00000019339
DRD3	ENST00000460779	ENSCAFT00000017187
ADORA1	ENST00000309502	ENSCAFT00000016346
PRDM16	ENST00000270722	ENSCAFT00000047721
MST1R	ENST00000296474	ENSCAFT00000036013
UBXN6	ENST00000301281	ENSCAFT00000030269
ZDHHC20	ENST00000400590	ENSCAFT00000077341
BUD13	ENST00000260210	ENSCAFT00000049855
GLRA3	ENST00000274093	ENSCAFT00000012633
HAUS1	ENST00000282058	ENSCAFT00000065858
PTCD2	ENST00000308077	ENSCAFT00000012743
HSBP1L1	ENST00000451882	ENSCAFT00000045122
RBM11	ENST00000400577	ENSCAFT00000084546
OSR1	ENST00000272223	ENSCAFT00000006069
CRYGN	ENST00000337323	ENSCAFT00000007862
DARS1	ENST00000264161	ENSCAFT00000008318
PEX5	ENST00000420616	ENSCAFT00000022337
GYPC	ENST00000259254	ENSCAFT00000043778
KLHL9	ENST00000359039	ENSCAFT00000036531
MTPAP	ENST00000263063	ENSCAFT00000006387
OR13D1	ENST00000318763	ENSCAFT00000074129
MRPL11	ENST00000310999	ENSCAFT00000020140
TDRD12	ENST00000444215	ENSCAFT00000012020
KIAA1958	ENST00000337530	ENSCAFT00000044672
IL36RN	ENST00000346807	ENSCAFT00000011639
RFC4	ENST00000296273	ENSCAFT00000021708
CAMK2D	ENST00000342666	ENSCAFT00000019264
DLL1	ENST00000366756	ENSCAFT00000006563
FREM1	ENST00000380880	ENSCAFT00000002397
SPATA22	ENST00000397168	ENSCAFT00000050035
SEMA4D	ENST00000356444	ENSCAFT00000071414
FPR2	ENST00000340023	ENSCAFT00000004494
SNAPIN	ENST00000368685	ENSCAFT00000027779
TANC1	ENST00000263635	ENSCAFT00000072866
ELMO1	ENST00000310758	ENSCAFT00000072467
MYORG	ENST00000297625	ENSCAFT00000047362
RING1	ENST00000374656	ENSCAFT00000001442
RRAGA	ENST00000380527	ENSCAFT00000049202
TTC32	ENST00000333610	ENSCAFT00000060203
TSPAN32	ENST00000182290	ENSCAFT00000016066
AHCYL2	ENST00000325006	ENSCAFT00000002379
ASMTL	ENST00000381317	ENSCAFT00000024283
GAS8	ENST00000268699	ENSCAFT00000031497
NECTIN1	ENST00000264025	ENSCAFT00000019073
BST2	ENST00000252593	ENSCAFT00000043275
POR	ENST00000394893	ENSCAFT00000086673
ADRA1B	ENST00000306675	ENSCAFT00000027374
P2RY12	ENST00000302632	ENSCAFT00000013538
POC5	ENST00000428202	ENSCAFT00000014892
BRINP3	ENST00000367462	ENSCAFT00000016924
CELF5	ENST00000292672	ENSCAFT00000030591
DYNLT3	ENST00000378578	ENSCAFT00000022134
STX11	ENST00000367568	ENSCAFT00000081620
TPD52L1	ENST00000534000	ENSCAFT00000001582
NPM1	ENST00000296930	ENSCAFT00000026771
CATSPER4	ENST00000456354	ENSCAFT00000020039
POLR3K	ENST00000293860	ENSCAFT00000031350
SBNO2	ENST00000361757	ENSCAFT00000087327
ZNF385B	ENST00000410066	ENSCAFT00000022466
DDX18	ENST00000263239	ENSCAFT00000007958
GNB3	ENST00000229264	ENSCAFT00000072381
CCNH	ENST00000256897	ENSCAFT00000036048
MGP	ENST00000539261	ENSCAFT00000020575
REC114	ENST00000331090	ENSCAFT00000028238
CXCR5	ENST00000292174	ENSCAFT00000019740
PASK	ENST00000234040	ENSCAFT00000020384
ASCL3	ENST00000531618	ENSCAFT00000037693
URI1	ENST00000392271	ENSCAFT00000048433
YAF2	ENST00000534854	ENSCAFT00000015539
PRDM14	ENST00000276594	ENSCAFT00000048502
DDAH1	ENST00000284031	ENSCAFT00000044440
SNTG1	ENST00000518864	ENSCAFT00000010804
SPSB3	ENST00000301717	ENSCAFT00000030992
HOXC13	ENST00000243056	ENSCAFT00000010694
WDR61	ENST00000267973	ENSCAFT00000022589
CCDC122	ENST00000444614	ENSCAFT00000007421
NRIP1	ENST00000318948	ENSCAFT00000012894
GADL1	ENST00000282538	ENSCAFT00000076382
PRR14L	ENST00000327423	ENSCAFT00000049394
AFF3	ENST00000409236	ENSCAFT00000077676
QPCTL	ENST00000012049	ENSCAFT00000007080
CASP3	ENST00000308394	ENSCAFT00000012385
SYT6	ENST00000610222	ENSCAFT00000086365
BAG5	ENST00000299204	ENSCAFT00000029038
PPP1R14A	ENST00000301242	ENSCAFT00000043447
AGER	ENST00000375076	ENSCAFT00000080693
NFIB	ENST00000380959	ENSCAFT00000065018
TSPAN13	ENST00000262067	ENSCAFT00000036757
CAPG	ENST00000263867	ENSCAFT00000065994
MAT2B	ENST00000321757	ENSCAFT00000027206
CEP41	ENST00000223208	ENSCAFT00000070310
TLR2	ENST00000260010	ENSCAFT00000013259
DMP1	ENST00000339673	ENSCAFT00000015166
DCAF4	ENST00000358377	ENSCAFT00000026589
PRPF39	ENST00000355765	ENSCAFT00000022296
RC3H1	ENST00000258349	ENSCAFT00000022951
SOX12	ENST00000342665	ENSCAFT00000011182
MSX1	ENST00000382723	ENSCAFT00000024872
KNG1	ENST00000265023	ENSCAFT00000021614
CACNA1H	ENST00000348261	ENSCAFT00000079672
KCNJ1	ENST00000392664	ENSCAFT00000016274
GOLGA4	ENST00000361924	ENSCAFT00000007747
SSPN	ENST00000242729	ENSCAFT00000018099
STS	ENST00000217961	ENSCAFT00000017942
CHCHD3	ENST00000262570	ENSCAFT00000063563
RPUSD1	ENST00000007264	ENSCAFT00000082925
SLC9C1	ENST00000305815	ENSCAFT00000078679
MTPN	ENST00000393085	ENSCAFT00000042792
ERC2	ENST00000288221	ENSCAFT00000074049
LRRTM4	ENST00000409093	ENSCAFT00000081965
SH2D3C	ENST00000314830	ENSCAFT00000032018
DGKE	ENST00000284061	ENSCAFT00000027545
DAPK2	ENST00000261891	ENSCAFT00000039738
ABCG5	ENST00000260645	ENSCAFT00000003956
IRX2	ENST00000302057	ENSCAFT00000016569
TNS1	ENST00000171887	ENSCAFT00000065916
ZC3H7A	ENST00000355758	ENSCAFT00000029968
TAT	ENST00000355962	ENSCAFT00000032147
HYAL2	ENST00000357750	ENSCAFT00000016952
ETV5	ENST00000306376	ENSCAFT00000021321
PDE5A	ENST00000354960	ENSCAFT00000091461
RAD52	ENST00000358495	ENSCAFT00000025077
ZNF583	ENST00000291598	ENSCAFT00000049122
ZNF621	ENST00000339296	ENSCAFT00000048408
CGNL1	ENST00000281282	ENSCAFT00000025797
NKIRAS2	ENST00000307641	ENSCAFT00000045466
NCL	ENST00000322723	ENSCAFT00000089404
RPS6KA5	ENST00000614987	ENSCAFT00000027815
P2RX4	ENST00000337233	ENSCAFT00000013312
EIF4G3	ENST00000264211	ENSCAFT00000087272
PHKA2	ENST00000379942	ENSCAFT00000083701
TROAP	ENST00000257909	ENSCAFT00000013658
IL33	ENST00000381434	ENSCAFT00000002106
STX1B	ENST00000215095	ENSCAFT00000090306
CCL16	ENST00000611905	ENSCAFT00000028853
FNDC5	ENST00000373471	ENSCAFT00000089565
UBE3B	ENST00000342494	ENSCAFT00000059629
TIGAR	ENST00000179259	ENSCAFT00000045644
STK26	ENST00000394334	ENSCAFT00000029881
MAP3K5	ENST00000359015	ENSCAFT00000000397
HNF1A	ENST00000257555	ENSCAFT00000016677
PLXND1	ENST00000324093	ENSCAFT00000007454
AUH	ENST00000375731	ENSCAFT00000083890
MAP2K2	ENST00000262948	ENSCAFT00000070581
CCDC60	ENST00000327554	ENSCAFT00000048505
AASDH	ENST00000205214	ENSCAFT00000060939
EPB41L4A	ENST00000261486	ENSCAFT00000011799
ZMIZ2	ENST00000309315	ENSCAFT00000049029
WWC2	ENST00000403733	ENSCAFT00000012695
MXD3	ENST00000439742	ENSCAFT00000026055
LAMA3	ENST00000313654	ENSCAFT00000076738
GNL3	ENST00000418458	ENSCAFT00000014305
MT-CYB	ENST00000361789	ENSCAFT00000034849
LNPK	ENST00000272748	ENSCAFT00000021256
OTOGL	ENST00000547103	ENSCAFT00000075423
ZNF205	ENST00000219091	ENSCAFT00000030646
STX1A	ENST00000222812	ENSCAFT00000020411
ZBED1	ENST00000381218	ENSCAFT00000017616
NLRX1	ENST00000292199	ENSCAFT00000019362
CDC42BPG	ENST00000342711	ENSCAFT00000078488
CDK2	ENST00000266970	ENSCAFT00000084046
GARNL3	ENST00000373387	ENSCAFT00000032068
B3GNT9	ENST00000449549	ENSCAFT00000032461
MB21D2	ENST00000392452	ENSCAFT00000022347
CLPP	ENST00000245816	ENSCAFT00000029683
SMIM12	ENST00000417239	ENSCAFT00000085864
GPR25	ENST00000304244	ENSCAFT00000044582
ACYP2	ENST00000394666	ENSCAFT00000064236
P2RX7	ENST00000328963	ENSCAFT00000013356
PLSCR5	ENST00000443512	ENSCAFT00000087466
AVPR1B	ENST00000367126	ENSCAFT00000016207
DOCK2	ENST00000256935	ENSCAFT00000026895
HINT2	ENST00000259667	ENSCAFT00000003511
TRPC6	ENST00000344327	ENSCAFT00000024132
PRR9	ENST00000368744	ENSCAFT00000037441
EFNB1	ENST00000204961	ENSCAFT00000065291
FUS	ENST00000254108	ENSCAFT00000026694
TLR4	ENST00000355622	ENSCAFT00000005653
DCDC2B	ENST00000409358	ENSCAFT00000035604
TMOD4	ENST00000295314	ENSCAFT00000019896
POGZ	ENST00000271715	ENSCAFT00000046033
AP5M1	ENST00000261558	ENSCAFT00000024194
QRFPR	ENST00000394427	ENSCAFT00000006671
CUEDC2	ENST00000369937	ENSCAFT00000016180
ESRRG	ENST00000408911	ENSCAFT00000046515
BAD	ENST00000309032	ENSCAFT00000038335
GPN3	ENST00000228827	ENSCAFT00000013443
OR6N2	ENST00000339258	ENSCAFT00000046937
DYNLRB2	ENST00000305904	ENSCAFT00000031865
MCMDC2	ENST00000422365	ENSCAFT00000011813
KDR	ENST00000263923	ENSCAFT00000003300
MICU2	ENST00000382374	ENSCAFT00000011503
FBXO8	ENST00000393674	ENSCAFT00000012582
VRTN	ENST00000256362	ENSCAFT00000026784
ASXL2	ENST00000435504	ENSCAFT00000071328
DDIT4	ENST00000307365	ENSCAFT00000045434
VAPA	ENST00000400000	ENSCAFT00000043354
C9orf116	ENST00000429260	ENSCAFT00000072814
COQ4	ENST00000300452	ENSCAFT00000049990
ESRP2	ENST00000565858	ENSCAFT00000032365
LRP12	ENST00000276654	ENSCAFT00000001048
LTB4R2	ENST00000528054	ENSCAFT00000071311
KCP	ENST00000620378	ENSCAFT00000082148
ZNF804A	ENST00000302277	ENSCAFT00000048507
PODXL2	ENST00000342480	ENSCAFT00000048442
RSPO4	ENST00000217260	ENSCAFT00000010997
ZNF239	ENST00000306006	ENSCAFT00000048649
OSER1	ENST00000255174	ENSCAFT00000087848
PNMA2	ENST00000522362	ENSCAFT00000013996
PCDH1	ENST00000394536	ENSCAFT00000085835
SPATA17	ENST00000366933	ENSCAFT00000090877
ATP2B3	ENST00000263519	ENSCAFT00000065609
DYNC1LI2	ENST00000258198	ENSCAFT00000032501
AP4E1	ENST00000261842	ENSCAFT00000024322
PPP4R3B	ENST00000616407	ENSCAFT00000004589
MARVELD3	ENST00000268485	ENSCAFT00000032160
TNFSF11	ENST00000398795	ENSCAFT00000007513
TTL	ENST00000233336	ENSCAFT00000011487
INPP1	ENST00000322522	ENSCAFT00000047844
GOLM1	ENST00000388711	ENSCAFT00000002093
ITPKC	ENST00000263370	ENSCAFT00000008198
MRPL55	ENST00000295008	ENSCAFT00000080723
CEP78	ENST00000424347	ENSCAFT00000075361
GJC3	ENST00000312891	ENSCAFT00000023641
PPM1B	ENST00000282412	ENSCAFT00000004003
EXD2	ENST00000312994	ENSCAFT00000026226
FAM126B	ENST00000418596	ENSCAFT00000019220
B3GNT3	ENST00000318683	ENSCAFT00000024121
FGD4	ENST00000427716	ENSCAFT00000061626
CYP11A1	ENST00000268053	ENSCAFT00000028390
PTPN4	ENST00000263708	ENSCAFT00000007849
PIK3C2G	ENST00000266497	ENSCAFT00000075228
PAK1IP1	ENST00000379568	ENSCAFT00000042932
CSF2RB	ENST00000403662	ENSCAFT00000002369
SAAL1	ENST00000524803	ENSCAFT00000044400
USP37	ENST00000258399	ENSCAFT00000023494
CWH43	ENST00000226432	ENSCAFT00000003159
WT1	ENST00000332351	ENSCAFT00000073423
FERMT2	ENST00000341590	ENSCAFT00000046782
ALDH3A1	ENST00000225740	ENSCAFT00000067253
THG1L	ENST00000231198	ENSCAFT00000027488
BLVRB	ENST00000263368	ENSCAFT00000089136
C1GALT1C1	ENST00000304661	ENSCAFT00000029443
EPG5	ENST00000282041	ENSCAFT00000028007
MIPEP	ENST00000382172	ENSCAFT00000011440
OR2K2	ENST00000374428	ENSCAFT00000004780
TH	ENST00000381178	ENSCAFT00000016050
DSE	ENST00000331677	ENSCAFT00000001378
ATP1A1	ENST00000295598	ENSCAFT00000083807
KIAA1671	ENST00000358431	ENSCAFT00000018343
RC3H2	ENST00000357244	ENSCAFT00000079356
UNG	ENST00000242576	ENSCAFT00000071043
